Objects
200
,,Global Angle firefly_blue:firefly_blue,,,,,,Global Angle testBalls:testBalls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,,,,,,,-0.0425931,-0.0268324,0.135067,-807.196,-785.885,51.0877
2,0,,,,,,,-0.0433867,-0.0271852,0.133227,-807.228,-785.87,51.1645
3,0,,,,,,,-0.043841,-0.0276284,0.133952,-807.251,-785.765,51.1417
4,0,,,,,,,-0.0630648,0.0161927,-1.49064,-810.521,-785.86,50.903
5,0,,,,,,,-0.0628283,0.0151865,-1.49097,-810.517,-785.854,50.8605
6,0,,,,,,,-0.0619744,0.0160795,-1.49151,-810.53,-785.889,50.9558
7,0,,,,,,,-0.0600276,0.0146766,-1.49128,-810.518,-786.037,50.9843
8,0,,,,,,,-0.0616637,0.0156088,-1.49123,-810.54,-786.087,50.9947
9,0,,,,,,,-0.0609793,0.0144218,-1.49185,-810.526,-786.098,50.91
10,0,,,,,,,-0.0595147,0.0141833,-1.49315,-810.489,-786.063,50.8793
11,0,,,,,,,-0.0614767,0.0138429,-1.4945,-810.481,-785.872,50.845
12,0,,,,,,,-0.0613624,0.0134971,-1.49561,-810.446,-785.884,50.8857
13,0,,,,,,,-0.060316,0.0141626,-1.49643,-810.462,-785.855,51.0528
14,0,,,,,,,-0.0577925,0.0164613,-1.49797,-810.456,-785.955,51.2646
15,0,,,,,,,-0.0573315,0.01776,-1.49916,-810.416,-785.987,51.4462
16,0,,,,,,,-0.0561821,0.0149576,-1.49947,-810.457,-785.993,51.3848
17,0,,,,,,,-0.0590324,0.0126483,-1.50023,-810.464,-785.865,51.352
18,0,,,,,,,-0.0587568,0.0129097,-1.50075,-810.465,-785.833,51.2596
19,0,,,,,,,-0.0585274,0.0123586,-1.5012,-810.444,-785.854,51.224
20,0,,,,,,,-0.0367432,0.0123838,-1.50374,-809.832,-785.485,51.4538
21,0,,,,,,,-0.0364601,0.0132115,-1.50539,-809.864,-785.421,51.4826
22,0,,,,,,,-0.0386952,0.0121483,-1.50559,-809.856,-785.442,51.5526
23,0,,,,,,,-0.0387252,0.0126358,-1.50632,-809.852,-785.342,51.5466
24,0,,,,,,,-0.0375304,0.013255,-1.50586,-809.866,-785.251,51.529
