Objects
200
,,Global Angle firefly_blue:firefly_blue,,,,,,Global Angle testBalls:testBalls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
70,0,,,,,,,-0.0518907,-0.0312147,0.127262,-871.105,-684.663,51.4695
71,0,,,,,,,-0.0521206,-0.0327061,0.127072,-871.122,-684.803,51.6084
72,0,,,,,,,-0.0552248,-0.0333851,0.128602,-871.12,-684.721,51.5808
73,0,,,,,,,-0.0532762,-0.0328134,0.127843,-871.123,-684.66,51.4586
74,0,,,,,,,-0.0500912,-0.031561,0.127547,-871.182,-684.54,51.309
75,0,,,,,,,-0.0517495,-0.0353386,0.123849,-871.115,-684.818,51.2885
76,0,,,,,,,-0.0489948,-0.0341483,0.12323,-871.077,-684.981,51.3208
77,0,,,,,,,-0.048934,-0.0327171,0.122903,-871.036,-685.016,51.4865
78,0,,,,,,,-0.0445198,-0.0300018,0.122275,-871.035,-685.02,51.4642
79,0,,,,,,,-0.0422785,-0.0288735,0.123081,-871.029,-684.979,51.4103
80,0,,,,,,,-0.040103,-0.0270749,0.122416,-871.06,-684.836,51.3378
81,0,,,,,,,-0.0362271,-0.0247407,0.123278,-871.013,-684.829,51.3109
82,0,,,,,,,-0.0359889,-0.0248108,0.122151,-871.029,-684.858,51.3784
83,0,,,,,,,-0.0343417,-0.0239418,0.122682,-871.017,-684.991,51.4372
84,0,,,,,,,-0.0327105,-0.0228632,0.120779,-871.013,-685.12,51.5481
85,0,,,,,,,0.0144726,-0.0557117,-3.00818,-872.617,-684.063,51.1092
86,0,,,,,,,0.0154935,-0.0543573,-3.01505,-872.47,-684.432,51.1338
87,0,,,,,,,0.0130986,-0.0536122,-3.01471,-872.46,-684.331,50.9251
88,0,,,,,,,0.0105729,-0.0517504,-3.01593,-872.482,-684.156,50.6964
89,0,,,,,,,0.0102804,-0.0521184,-3.01625,-872.426,-684.153,50.5668
90,0,,,,,,,0.00330331,-0.0452686,-3.01679,-872.428,-684.192,50.6692
91,0,,,,,,,0.00465201,-0.0462647,-3.0162,-872.364,-684.307,50.8545
92,0,,,,,,,-0.00262485,-0.0396477,-3.01769,-872.403,-684.356,51.0152
93,0,,,,,,,-0.00872763,-0.0338565,-3.0178,-872.435,-684.312,50.9842
94,0,,,,,,,-0.0209566,-0.0246403,-3.01812,-872.514,-684.209,50.785
95,0,,,,,,,-0.033923,-0.0139125,-3.01864,-872.549,-684.137,50.6393
96,0,,,,,,,-0.0400374,-0.0101803,-3.01867,-872.59,-684.327,50.6917
97,0,,,,,,,-0.0418828,-0.0108956,-3.0193,-872.564,-684.547,50.856
98,0,,,,,,,-0.0280154,-0.0277383,-3.01984,-872.612,-684.624,50.805
99,0,,,,,,,-0.0344917,-0.0201794,-3.01927,-872.645,-684.58,50.6439
100,0,,,,,,,-0.0389493,-0.0182772,-3.01845,-872.657,-684.373,50.3504
101,0,,,,,,,-0.0469198,-0.0116521,-3.01804,-872.698,-684.263,50.1492
102,0,,,,,,,-0.045855,-0.0150588,-3.01814,-872.708,-684.213,50.1797
103,0,,,,,,,-0.0427315,-0.0182809,-3.01837,-872.675,-684.431,50.4967
104,0,,,,,,,-0.0369795,-0.0229282,-3.01987,-872.629,-684.592,50.8255
105,0,,,,,,,-0.0368844,-0.0241102,-3.0205,-872.655,-684.71,51.0373
106,0,,,,,,,-0.0372412,-0.0261868,-3.01974,-872.694,-684.567,50.9425
107,0,,,,,,,-0.0385348,-0.0199349,-3.01933,-872.78,-684.403,50.5839
108,0,,,,,,,-0.0410963,-0.0189389,-3.01883,-872.781,-684.357,50.3959
109,0,,,,,,,-0.0403916,-0.0167215,-3.01868,-872.75,-684.348,50.4205
110,0,,,,,,,-0.0378494,-0.0211756,-3.01933,-872.749,-684.556,50.6459
111,0,,,,,,,-0.045293,-0.0128202,-3.02066,-872.548,-684.96,50.5867
112,0,,,,,,,-0.0392302,-0.0203387,-3.01814,-872.535,-684.77,50.4174
113,0,,,,,,,-0.0406067,-0.018881,-3.01805,-872.706,-684.281,50.3691
114,0,,,,,,,-0.0480927,-0.0123271,-3.01862,-872.674,-684.215,50.2053
115,0,,,,,,,-0.0439417,-0.0136155,-3.01989,-872.71,-684.235,50.3214
116,0,,,,,,,-0.0386862,-0.0204317,-3.01991,-872.664,-684.473,50.6976
117,0,,,,,,,-0.0324419,-0.0255303,-3.02045,-872.682,-684.692,50.9308
118,0,,,,,,,-0.0327096,-0.025847,-3.02065,-872.697,-684.699,50.93
119,0,,,,,,,-0.0366549,-0.0199378,-3.01974,-872.694,-684.566,50.651
120,0,,,,,,,-0.045573,-0.0129089,-3.01919,-872.724,-684.399,50.2818
121,0,,,,,,,-0.0468559,-0.0122452,-3.0185,-872.75,-684.254,50.1426
122,0,,,,,,,-0.0469026,-0.0117965,-3.01818,-872.715,-684.396,50.2864
123,0,,,,,,,-0.0427063,-0.0168799,-3.01839,-872.697,-684.603,50.5526
124,0,,,,,,,-0.0399933,-0.0188087,-3.01946,-872.673,-684.691,50.6978
125,0,,,,,,,-0.0416744,-0.0173823,-3.01928,-872.711,-684.517,50.624
126,0,,,,,,,-0.0437838,-0.0158544,-3.01845,-872.732,-684.353,50.5267
127,0,,,,,,,-0.046641,-0.0117553,-3.01876,-872.681,-684.269,50.4955
128,0,,,,,,,-0.0396307,-0.0199683,-3.01915,-872.679,-684.35,50.568
129,0,,,,,,,-0.0369938,-0.0241663,-3.0197,-872.683,-684.486,50.6562
130,0,,,,,,,-0.0375666,-0.0236826,-3.01921,-872.697,-684.614,50.7149
131,0,,,,,,,-0.0388642,-0.0234733,-3.01914,-872.688,-684.625,50.7133
132,0,,,,,,,-0.0410812,-0.0192372,-3.01983,-872.712,-684.582,50.5475
133,0,,,,,,,-0.0437865,-0.016685,-3.01863,-872.713,-684.485,50.3767
134,0,,,,,,,-0.0450914,-0.0150889,-3.01819,-872.718,-684.346,50.2453
135,0,,,,,,,-0.0445317,-0.0146754,-3.01873,-872.706,-684.426,50.3046
136,0,,,,,,,-0.0442071,-0.0148407,-3.02013,-872.629,-684.564,50.4647
137,0,,,,,,,-0.0401701,-0.0203868,-3.01927,-872.688,-684.571,50.6606
138,0,,,,,,,-0.0418706,-0.0185189,-3.01976,-872.708,-684.507,50.7171
139,0,,,,,,,-0.0443944,-0.0130381,-3.01956,-872.699,-684.437,50.6595
140,0,,,,,,,-0.0500678,-0.0104498,-3.01956,-872.725,-684.355,50.5779
141,0,,,,,,,-0.053156,-0.00437512,-3.02027,-872.72,-684.419,50.5901
142,0,,,,,,,-0.0531762,-0.0050528,-3.01996,-872.715,-684.574,50.7445
143,0,,,,,,,-0.0373906,-0.0214376,-3.01902,-872.738,-684.641,50.72
144,0,,,,,,,-0.0369272,-0.0219592,-3.01888,-872.738,-684.618,50.6601
145,0,,,,,,,-0.042895,-0.0188684,-3.01753,-872.733,-684.532,50.5705
146,0,,,,,,,-0.0473577,-0.0150801,-3.0166,-872.774,-684.291,50.3456
147,0,,,,,,,-0.0465313,-0.015031,-3.01537,-872.742,-684.151,50.2164
148,0,,,,,,,-0.043095,-0.0197015,-3.01559,-872.752,-684.195,50.261
149,0,,,,,,,-0.0409428,-0.021178,-3.0158,-872.742,-684.291,50.5224
150,0,,,,,,,-0.0340121,-0.028248,-3.01571,-872.721,-684.373,50.6454
151,0,,,,,,,-0.0376544,-0.0268119,-3.01519,-872.742,-684.362,50.765
152,0,,,,,,,-0.0386053,-0.0248837,-3.01461,-872.782,-684.207,50.5221
153,0,,,,,,,-0.0439456,-0.0133115,-3.01956,-872.663,-684.363,50.4718
154,0,,,,,,,-0.045073,-0.0151688,-3.01861,-872.688,-684.442,50.4241
155,0,,,,,,,-0.0419841,-0.0174885,-3.01884,-872.683,-684.5,50.4573
156,0,,,,,,,-0.0402083,-0.0182106,-3.01899,-872.679,-684.556,50.5305
157,0,,,,,,,-0.0409376,-0.0180082,-3.01903,-872.681,-684.517,50.528
158,0,,,,,,,-0.0464625,-0.0139425,-3.01926,-872.711,-684.393,50.4863
159,0,,,,,,,-0.0475799,-0.012307,-3.01815,-872.678,-684.282,50.364
160,0,,,,,,,-0.0509434,-0.00919998,-3.01832,-872.67,-684.221,50.3452
161,0,,,,,,,-0.0495666,-0.00888826,-3.01949,-872.631,-684.317,50.4439
162,0,,,,,,,-0.0407106,-0.0184967,-3.01985,-872.675,-684.436,50.6417
163,0,,,,,,,-0.0340074,-0.0230914,-3.02064,-872.672,-684.64,50.7978
164,0,,,,,,,-0.0374918,-0.0217113,-3.02077,-872.704,-684.656,50.878
165,0,,,,,,,-0.0394214,-0.0203394,-3.01959,-872.677,-684.529,50.7014
166,0,,,,,,,-0.0443504,-0.0138392,-3.01895,-872.688,-684.378,50.4254
167,0,,,,,,,-0.0448502,-0.0135487,-3.01662,-872.635,-684.4,50.2421
168,0,,,,,,,-0.0453468,-0.0149696,-3.0189,-872.65,-684.394,50.3563
169,0,,,,,,,-0.0410417,-0.0174338,-3.01897,-872.613,-684.642,50.546
170,0,,,,,,,-0.0386093,-0.020641,-3.01931,-872.613,-684.702,50.6658
171,0,,,,,,,-0.0406452,-0.0165519,-3.01962,-872.653,-684.588,50.6381
172,0,,,,,,,-0.041886,-0.0171427,-3.01718,-872.667,-684.567,50.5848
173,0,,,,,,,-0.0393172,-0.0164692,-3.01875,-872.683,-684.398,50.5251
174,0,,,,,,,-0.0396304,-0.0192068,-3.01873,-872.722,-684.392,50.5714
175,0,,,,,,,-0.0370712,-0.0222228,-3.01956,-872.761,-684.468,50.6605
176,0,,,,,,,-0.0362161,-0.0207098,-3.01983,-872.718,-684.63,50.7495
177,0,,,,,,,-0.0384495,-0.0205483,-3.02024,-872.704,-684.658,50.7587
178,0,,,,,,,-0.0432375,-0.0170547,-3.01936,-872.752,-684.524,50.5846
179,0,,,,,,,-0.0476312,-0.0118985,-3.01813,-872.728,-684.359,50.353
180,0,,,,,,,-0.0492558,-0.0107829,-3.01879,-872.698,-684.319,50.282
181,0,,,,,,,-0.0472784,-0.0115368,-3.01887,-872.684,-684.372,50.3749
182,0,,,,,,,-0.0393724,-0.0199751,-3.01937,-872.695,-684.514,50.5615
183,0,,,,,,,-0.0357355,-0.0235103,-3.02016,-872.668,-684.562,50.7605
184,0,,,,,,,-0.0408244,-0.0186578,-3.01979,-872.685,-684.524,50.7646
185,0,,,,,,,-0.0398795,-0.0198536,-3.01939,-872.724,-684.338,50.5471
186,0,,,,,,,-0.0427277,-0.0143738,-3.01858,-872.739,-684.242,50.3669
187,0,,,,,,,-0.0418741,-0.0164778,-3.01902,-872.739,-684.312,50.4354
188,0,,,,,,,-0.0384871,-0.0204069,-3.01977,-872.709,-684.518,50.5885
189,0,,,,,,,-0.0385913,-0.0193357,-3.02027,-872.701,-684.58,50.6742
190,0,,,,,,,-0.0382394,-0.0167974,-3.019,-872.685,-684.542,50.4966
191,0,,,,,,,-0.0448711,-0.0159219,-3.01845,-872.685,-684.422,50.338
192,0,,,,,,,-0.0449968,-0.0145113,-3.01878,-872.697,-684.272,50.2609
193,0,,,,,,,-0.0464555,-0.0165966,-3.01879,-872.678,-684.36,50.4275
194,0,,,,,,,-0.043628,-0.016545,-3.01962,-872.652,-684.496,50.6513
195,0,,,,,,,-0.0367724,-0.0244778,-3.01957,-872.643,-684.6,50.7812
196,0,,,,,,,-0.0402884,-0.0252142,-3.0196,-872.67,-684.561,50.8482
197,0,,,,,,,-0.0429387,-0.021729,-3.01844,-872.677,-684.397,50.6739
198,0,,,,,,,-0.045474,-0.0191031,-3.01844,-872.673,-684.287,50.6173
199,0,,,,,,,-0.0462881,-0.0216029,-3.0183,-872.693,-684.305,50.6428
200,0,,,,,,,-0.0405904,-0.017683,-3.01881,-872.688,-684.557,50.588
201,0,,,,,,,-0.0408395,-0.0176104,-3.02,-872.713,-684.66,50.6774
202,0,,,,,,,-0.0400649,-0.018602,-3.01947,-872.701,-684.685,50.6972
203,0,,,,,,,-0.0418621,-0.0173815,-3.0198,-872.702,-684.598,50.6515
204,0,,,,,,,-0.0458567,-0.0120181,-3.01918,-872.71,-684.39,50.4719
205,0,,,,,,,-0.0504837,-0.0087172,-3.01907,-872.73,-684.28,50.3825
206,0,,,,,,,-0.0528531,-0.00687422,-3.0195,-872.711,-684.335,50.4997
207,0,,,,,,,-0.0396161,-0.0173822,-3.01971,-872.707,-684.487,50.6293
208,0,,,,,,,-0.0366867,-0.0218118,-3.02002,-872.724,-684.638,50.8165
209,0,,,,,,,-0.0354587,-0.0218972,-3.02026,-872.727,-684.607,50.8209
210,0,,,,,,,-0.0393062,-0.0191142,-3.02006,-872.731,-684.544,50.651
211,0,,,,,,,-0.0427755,-0.0179128,-3.01882,-872.746,-684.387,50.5024
212,0,,,,,,,-0.043632,-0.0165056,-3.019,-872.749,-684.368,50.4057
213,0,,,,,,,-0.0411516,-0.0164576,-3.01924,-872.703,-684.474,50.4112
214,0,,,,,,,-0.0435471,-0.0155619,-3.01935,-872.654,-684.557,50.5258
215,0,,,,,,,-0.0423539,-0.0164324,-3.02006,-872.631,-684.629,50.5571
216,0,,,,,,,-0.0459757,-0.0124839,-3.0196,-872.616,-684.594,50.5395
217,0,,,,,,,-0.0500612,-0.0089298,-3.01925,-872.631,-684.441,50.5045
218,0,,,,,,,-0.0510499,-0.00875426,-3.01907,-872.64,-684.339,50.4634
219,0,,,,,,,-0.0527236,-0.00558933,-3.01998,-872.639,-684.402,50.5333
220,0,,,,,,,-0.0389983,-0.0198954,-3.01932,-872.716,-684.439,50.5223
221,0,,,,,,,-0.0380695,-0.0208706,-3.01946,-872.693,-684.576,50.6636
222,0,,,,,,,-0.0345233,-0.0225725,-3.01972,-872.696,-684.579,50.7062
223,0,,,,,,,-0.0395204,-0.0194024,-3.02066,-872.637,-684.713,50.5918
224,0,,,,,,,-0.0413367,-0.0184696,-3.01873,-872.753,-684.4,50.4567
225,0,,,,,,,-0.0455836,-0.0142094,-3.0184,-872.76,-684.195,50.2468
226,0,,,,,,,-0.0493243,-0.0120212,-3.01766,-872.762,-684.18,50.2628
227,0,,,,,,,-0.0442778,-0.0168145,-3.01792,-872.711,-684.386,50.3839
228,0,,,,,,,-0.0403831,-0.0185113,-3.01953,-872.645,-684.679,50.6424
229,0,,,,,,,-0.041182,-0.0181376,-3.01995,-872.679,-684.704,50.8776
230,0,,,,,,,-0.0447725,-0.0150486,-3.02016,-872.704,-684.637,50.8285
231,0,,,,,,,-0.0383382,-0.0210861,-3.01937,-872.724,-684.444,50.6146
232,0,,,,,,,-0.03672,-0.0241561,-3.0195,-872.781,-684.397,50.5828
233,0,,,,,,,-0.0362504,-0.0234233,-3.01943,-872.721,-684.55,50.6841
234,0,,,,,,,-0.0362168,-0.0244315,-3.02001,-872.673,-684.664,50.7919
235,0,,,,,,,-0.0378372,-0.0192869,-3.0195,-872.681,-684.676,50.675
236,0,,,,,,,-0.0422189,-0.0164366,-3.01928,-872.698,-684.543,50.4701
237,0,,,,,,,-0.0455761,-0.0132778,-3.01865,-872.682,-684.384,50.3223
238,0,,,,,,,-0.0462245,-0.0139021,-3.01844,-872.696,-684.333,50.2775
239,0,,,,,,,-0.0438643,-0.0146722,-3.01909,-872.694,-684.398,50.3746
240,0,,,,,,,-0.0391444,-0.0192019,-3.01953,-872.7,-684.464,50.5883
241,0,,,,,,,-0.038446,-0.0218662,-3.02007,-872.696,-684.56,50.7875
242,0,,,,,,,-0.0362282,-0.0218453,-3.01975,-872.691,-684.591,50.7756
243,0,,,,,,,-0.0414143,-0.0179121,-3.01972,-872.724,-684.449,50.6751
244,0,,,,,,,-0.0476191,-0.0112306,-3.01937,-872.747,-684.387,50.4703
245,0,,,,,,,-0.0544287,-0.0039331,-3.01953,-872.767,-684.324,50.3682
246,0,,,,,,,-0.0529628,-0.00647688,-3.01887,-872.7,-684.448,50.4261
247,0,,,,,,,-0.0535122,-0.00368214,-3.01928,-872.648,-684.639,50.6079
248,0,,,,,,,-0.0553618,-0.00141022,-3.02013,-872.63,-684.672,50.7151
249,0,,,,,,,-0.0555765,-0.00138105,-3.01962,-872.584,-684.683,50.6825
250,0,,,,,,,-0.0606636,0.00380898,-3.0197,-872.603,-684.482,50.5801
251,0,,,,,,,-0.0623996,0.00489685,-3.01896,-872.651,-684.419,50.5837
